title,description,director,year,actors,categories
The Lobster,"title: The Lobster ,Description: In a dystopian near future, single people, according to the laws of The City, are taken to The Hotel, where they are obliged to find a romantic partner in forty-five days or are transformed into beasts and sent off into The Woods.",Yorgos Lanthimos,2015,"['colin farrell', ' rachel weisz', ' jessica barden', 'olivia colman']","['comedy', 'drama', 'romance']"
Predators,"title: Predators ,Description: A group of elite warriors parachute into an unfamiliar jungle and are hunted by members of a merciless alien race.",Nimród Antal,2010,"['adrien brody', ' laurence fishburne', ' topher grace', 'alice braga']","['action', 'adventure', 'sci-fi']"
Maleficent,"title: Maleficent ,Description: A vengeful fairy is driven to curse an infant princess, only to discover that the child may be the one person who can restore peace to their troubled land.",Robert Stromberg,2014,"['angelina jolie', ' elle fanning', ' sharlto copley', 'lesley manville']","['action', 'adventure', 'family']"
Rupture,"title: Rupture ,Description: A single mom tries to break free from a mysterious organization that has abducted her.",Steven Shainberg,2016,"['noomi rapace', ' michael chiklis', ' kerry bishé', 'peter stormare']","['horror', 'sci-fi', 'thriller']"
Pan's Labyrinth,"title: Pan's Labyrinth ,Description: In the falangist Spain of 1944, the bookish young stepdaughter of a sadistic army officer escapes into an eerie but captivating fantasy world.",Guillermo del Toro,2006,"['ivana baquero', ' ariadna gil', ' sergi lópez', 'maribel verdú']","['drama', 'fantasy', 'war']"
A Kind of Murder,"title: A Kind of Murder ,Description: In 1960s New York, Walter Stackhouse is a successful architect married to the beautiful Clara who leads a seemingly perfect life. But his fascination with an unsolved murder leads him into a spiral of chaos as he is forced to play cat-and-mouse with a clever killer and an overambitious detective, while at the same time lusting after another woman.",Andy Goddard,2016,"['patrick wilson', ' jessica biel', ' haley bennett', ' vincent kartheiser']","['crime', 'drama', 'thriller']"
Apocalypto,"title: Apocalypto ,Description: As the Mayan kingdom faces its decline, the rulers insist the key to prosperity is to build more temples and offer human sacrifices. Jaguar Paw, a young man captured for sacrifice, flees to avoid his fate.",Mel Gibson,2006,"['gerardo taracena', ' raoul max trujillo', ' dalia hernández', 'rudy youngblood']","['action', 'adventure', 'drama']"
Mission: Impossible - Rogue Nation,"title: Mission: Impossible - Rogue Nation ,Description: Ethan and team take on their most impossible mission yet, eradicating the Syndicate - an International rogue organization as highly skilled as they are, committed to destroying the IMF.",Christopher McQuarrie,2015,"['tom cruise', ' rebecca ferguson', ' jeremy renner', ' simon pegg']","['action', 'adventure', 'thriller']"
The Huntsman: Winter's War,"title: The Huntsman: Winter's War ,Description: Eric and fellow warrior Sara, raised as members of ice Queen Freya's army, try to conceal their forbidden love as they fight to survive the wicked intentions of both Freya and her sister Ravenna.",Cedric Nicolas-Troyan,2016,"['chris hemsworth', ' jessica chastain', ' charlize theron', ' emily blunt']","['action', 'adventure', 'drama']"
The Perks of Being a Wallflower,"title: The Perks of Being a Wallflower ,Description: An introvert freshman is taken under the wings of two seniors who welcome him to the real world.",Stephen Chbosky,2012,"['logan lerman', ' emma watson', ' ezra miller', ' paul rudd']","['drama', 'romance']"
Jackie,"title: Jackie ,Description: Following the assassination of President John F. Kennedy, First Lady Jacqueline Kennedy fights through grief and trauma to regain her faith, console her children, and define her husband's historic legacy.",Pablo Larraín,2016,"['natalie portman', ' peter sarsgaard', ' greta gerwig', 'billy crudup']","['biography', 'drama', 'history']"
The Disappointments Room,"title: The Disappointments Room ,Description: A mother and her young son release unimaginable horrors from the attic of their rural dream home.",D.J. Caruso,2016,"['kate beckinsale', ' mel raido', ' duncan joiner', ' lucas till']","['drama', 'horror', 'thriller']"
The Grand Budapest Hotel,"title: The Grand Budapest Hotel ,Description: The adventures of Gustave H, a legendary concierge at a famous hotel from the fictional Republic of Zubrowka between the first and second World Wars, and Zero Moustafa, the lobby boy who becomes his most trusted friend.",Wes Anderson,2014,"['ralph fiennes', ' f. murray abraham', ' mathieu amalric', 'adrien brody']","['adventure', 'comedy', 'drama']"
The Host,"title: The Host ,Description: When an unseen enemy threatens mankind by taking over their bodies and erasing their memories, Melanie will risk everything to protect the people she cares most about, proving that love can conquer all in a dangerous new world.",Andrew Niccol,2013,"['saoirse ronan', ' max irons', ' jake abel', ' diane kruger']","['action', 'adventure', 'romance']"
Fury,"title: Fury ,Description: A grizzled tank commander makes tough decisions as he and his crew fight their way across Germany in April, 1945.",David Ayer,2014,"['brad pitt', ' shia labeouf', ' logan lerman', ' michael peña']","['action', 'drama', 'war']"
Inside Out,"title: Inside Out ,Description: After young Riley is uprooted from her Midwest life and moved to San Francisco, her emotions - Joy, Fear, Anger, Disgust and Sadness - conflict on how best to navigate a new city, house, and school.",Pete Docter,2015,"['amy poehler', ' bill hader', ' lewis black', ' mindy kaling']","['animation', 'adventure', 'comedy']"
Rock Dog,"title: Rock Dog ,Description: When a radio falls from the sky into the hands of a wide-eyed Tibetan Mastiff, he leaves home to fulfill his dream of becoming a musician, setting into motion a series of completely unexpected events.",Ash Brannon,2016,"['luke wilson', ' eddie izzard', ' j.k. simmons', ' lewis black']","['animation', 'adventure', 'comedy']"
Terminator Genisys,"title: Terminator Genisys ,Description: When John Connor, leader of the human resistance, sends Sgt. Kyle Reese back to 1984 to protect Sarah Connor and safeguard the future, an unexpected turn of events creates a fractured timeline.",Alan Taylor,2015,"['arnold schwarzenegger', ' jason clarke', ' emilia clarke', 'jai courtney']","['action', 'adventure', 'sci-fi']"
Percy Jackson & the Olympians: The Lightning Thief,"title: Percy Jackson & the Olympians: The Lightning Thief ,Description: A teenager discovers he's the descendant of a Greek god and sets out on an adventure to settle an on-going battle between the gods.",Chris Columbus,2010,"['logan lerman', ' kevin mckidd', ' steve coogan', 'brandon t. jackson']","['adventure', 'family', 'fantasy']"
Les Misérables,"title: Les Misérables ,Description: In 19th-century France, Jean Valjean, who for decades has been hunted by the ruthless policeman Javert after breaking parole, agrees to care for a factory worker's daughter. The decision changes their lives forever.",Tom Hooper,2012,"['hugh jackman', ' russell crowe', ' anne hathaway', 'amanda seyfried']","['drama', 'musical', 'romance']"
Children of Men,"title: Children of Men ,Description: In 2027, in a chaotic world in which women have become somehow infertile, a former activist agrees to help transport a miraculously pregnant woman to a sanctuary at sea.",Alfonso Cuarón,2006,"['julianne moore', ' clive owen', ' chiwetel ejiofor', 'michael caine']","['drama', 'sci-fi', 'thriller']"
20th Century Women,"title: 20th Century Women ,Description: The story of a teenage boy, his mother, and two other women who help raise him among the love and freedom of Southern California of 1979.",Mike Mills,2016,"['annette bening', ' elle fanning', ' greta gerwig', ' billy crudup']","['comedy', 'drama']"
Spy,"title: Spy ,Description: A desk-bound CIA analyst volunteers to go undercover to infiltrate the world of a deadly arms dealer, and prevent diabolical global disaster.",Paul Feig,2015,"['melissa mccarthy', ' rose byrne', ' jude law', ' jason statham']","['action', 'comedy', 'crime']"
The Intouchables,"title: The Intouchables ,Description: After he becomes a quadriplegic from a paragliding accident, an aristocrat hires a young man from the projects to be his caregiver.",Olivier Nakache,2011,"['françois cluzet', ' omar sy', ' anne le ny', ' audrey fleurot']","['biography', 'comedy', 'drama']"
Bonjour Anne,"title: Bonjour Anne ,Description: Anne is at a crossroads in her life. Long married to a successful, driven but inattentive movie producer, she unexpectedly finds herself taking a car trip from Cannes to Paris with a ... See full summary »",Eleanor Coppola,2016,"['diane lane', ' alec baldwin', ' arnaud viard', ' linda gegusch']","['comedy', 'drama', 'romance']"
Kynodontas,"title: Kynodontas ,Description: Three teenagers live isolated, without leaving their house, because their over-protective parents say they can only leave when their dogtooth falls out.",Yorgos Lanthimos,2009,"['christos stergioglou', ' michele valley', ' angeliki papoulia', ' hristos passalis']","['drama', 'thriller']"
Straight Outta Compton,"title: Straight Outta Compton ,Description: The group NWA emerges from the mean streets of Compton in Los Angeles, California, in the mid-1980s and revolutionizes Hip Hop culture with their music and tales about life in the hood.",F. Gary Gray,2015,"['oshea jackson jr.', ' corey hawkins', ' jason mitchell', 'neil brown jr.']","['biography', 'drama', 'history']"
The Amazing Spider-Man 2,"title: The Amazing Spider-Man 2 ,Description: When New York is put under siege by Oscorp, it is up to Spider-Man to save the city he swore to protect as well as his loved ones.",Marc Webb,2014,"['andrew garfield', ' emma stone', ' jamie foxx', ' paul giamatti']","['action', 'adventure', 'sci-fi']"
The Conjuring,"title: The Conjuring ,Description: Paranormal investigators Ed and Lorraine Warren work to help a family terrorized by a dark presence in their farmhouse.",James Wan,2013,"['patrick wilson', ' vera farmiga', ' ron livingston', ' lili taylor']","['horror', 'mystery', 'thriller']"
The Hangover,"title: The Hangover ,Description: Three buddies wake up from a bachelor party in Las Vegas, with no memory of the previous night and the bachelor missing. They make their way around the city in order to find their friend before his wedding.",Todd Phillips,2009,"['zach galifianakis', ' bradley cooper', ' justin bartha', ' ed helms']",['comedy']
Battleship,"title: Battleship ,Description: A fleet of ships is forced to do battle with an armada of unknown origins in order to discover and thwart their destructive goals.",Peter Berg,2012,"['alexander skarsgård', ' brooklyn decker', ' liam neeson', 'rihanna']","['action', 'adventure', 'sci-fi']"
Rise of the Planet of the Apes,"title: Rise of the Planet of the Apes ,Description: A substance, designed to help the brain repair itself, gives rise to a super-intelligent chimp who leads an ape uprising.",Rupert Wyatt,2011,"['james franco', ' andy serkis', ' freida pinto', ' karin konoval']","['action', 'drama', 'sci-fi']"
Lights Out,"title: Lights Out ,Description: Rebecca must unlock the terror behind her little brother's experiences that once tested her sanity, bringing her face to face with an entity attached to their mother.",David F. Sandberg,2016,"['teresa palmer', ' gabriel bateman', ' maria bello', 'billy burke']",['horror']
Norman: The Moderate Rise and Tragic Fall of a New York Fixer,"title: Norman: The Moderate Rise and Tragic Fall of a New York Fixer ,Description: Norman Oppenheimer is a small time operator who befriends a young politician at a low point in his life. Three years later, when the politician becomes an influential world leader, Norman's life dramatically changes for better and worse.",Joseph Cedar,2016,"['richard gere', ' lior ashkenazi', ' michael sheen', 'charlotte gainsbourg']","['drama', 'thriller']"
Birdman or (The Unexpected Virtue of Ignorance),"title: Birdman or (The Unexpected Virtue of Ignorance) ,Description: Illustrated upon the progress of his latest Broadway play, a former popular actor's struggle to cope with his current life as a wasted actor is shown.",Alejandro González Iñárritu,2014,"['michael keaton', ' zach galifianakis', 'edward norton', ' andrea riseborough']","['comedy', 'drama', 'romance']"
Black Swan,"title: Black Swan ,Description: A committed dancer wins the lead role in a production of Tchaikovsky's ""Swan Lake"" only to find herself struggling to maintain her sanity.",Darren Aronofsky,2010,"['natalie portman', ' mila kunis', ' vincent cassel', 'winona ryder']","['drama', 'thriller']"
Dear White People,"title: Dear White People ,Description: The lives of four black students at an Ivy League college.",Justin Simien,2014,"['tyler james williams', ' tessa thompson', ' kyle gallner', 'teyonah parris']","['comedy', 'drama']"
Nymphomaniac: Vol. I,"title: Nymphomaniac: Vol. I ,Description: A self-diagnosed nymphomaniac recounts her erotic experiences to the man who saved her after a beating.",Lars von Trier,2013,"['charlotte gainsbourg', ' stellan skarsgård', ' stacy martin', ' shia labeouf']",['drama']
Teenage Mutant Ninja Turtles: Out of the Shadows,"title: Teenage Mutant Ninja Turtles: Out of the Shadows ,Description: After facing Shredder, who has joined forces with mad scientist Baxter Stockman and henchmen Bebop and Rocksteady to take over the world, the Turtles must confront an even greater nemesis: the notorious Krang.",Dave Green,2016,"['megan fox', ' will arnett', ' tyler perry', ' laura linney']","['action', 'adventure', 'comedy']"
Knock Knock,"title: Knock Knock ,Description: A devoted father helps two stranded young women who knock on his door, but his kind gesture turns into a dangerous seduction and a deadly game of cat and mouse.",Eli Roth,2015,"['keanu reeves', ' lorenza izzo', ' ana de armas', ' aaron burns']","['drama', 'horror', 'thriller']"
Dirty Grandpa,"title: Dirty Grandpa ,Description: Right before his wedding, an uptight guy is tricked into driving his grandfather, a lecherous former Army Lieutenant-Colonel, to Florida for spring break.",Dan Mazer,2016,"['robert de niro', ' zac efron', ' zoey deutch', ' aubrey plaza']",['comedy']
Cloud Atlas,"title: Cloud Atlas ,Description: An exploration of how the actions of individual lives impact one another in the past, present and future, as one soul is shaped from a killer into a hero, and an act of kindness ripples across centuries to inspire a revolution.",Tom Tykwer,2012,"['tom hanks', ' halle berry', ' hugh grant', ' hugo weaving']","['drama', 'sci-fi']"
X-Men Origins: Wolverine,"title: X-Men Origins: Wolverine ,Description: A look at Wolverine's early life, in particular his time with the government squad Team X and the impact it will have on his later years.",Gavin Hood,2009,"['hugh jackman', ' liev schreiber', ' ryan reynolds', ' danny huston']","['action', 'adventure', 'sci-fi']"
Satanic,"title: Satanic ,Description: Four friends on their way to Coachella stop off in Los Angeles to tour true-crime occult sites, only to encounter a mysterious young runaway who puts them on a terrifying path to ultimate horror.",Jeffrey G. Hunt,2016,"['sarah hyland', ' steven krueger', ' justin chon', ' clara mamet']",['horror']
Skyfall,"title: Skyfall ,Description: Bond's loyalty to M is tested when her past comes back to haunt her. Whilst MI6 comes under attack, 007 must track down and destroy the threat, no matter how personal the cost.",Sam Mendes,2012,"['daniel craig', ' javier bardem', ' naomie harris', ' judi dench']","['action', 'adventure', 'thriller']"
The Hobbit: An Unexpected Journey,"title: The Hobbit: An Unexpected Journey ,Description: A reluctant hobbit, Bilbo Baggins, sets out to the Lonely Mountain with a spirited group of dwarves to reclaim their mountain home - and the gold within it - from the dragon Smaug.",Peter Jackson,2012,"['martin freeman', ' ian mckellen', ' richard armitage', 'andy serkis']","['adventure', 'fantasy']"
21 Jump Street,"title: 21 Jump Street ,Description: A pair of underachieving cops are sent back to a local high school to blend in and bring down a synthetic drug ring.",Phil Lord,2012,"['jonah hill', ' channing tatum', ' ice cube', 'brie larson']","['action', 'comedy', 'crime']"
Sing Street,"title: Sing Street ,Description: A boy growing up in Dublin during the 1980s escapes his strained family life by starting a band to impress the mysterious girl he likes.",John Carney,2016,"['ferdia walsh-peelo', ' aidan gillen', ' maria doyle kennedy', ' jack reynor']","['comedy', 'drama', 'music']"
Ballerina,"title: Ballerina ,Description: An orphan girl dreams of becoming a ballerina and flees her rural Brittany for Paris, where she passes for someone else and accedes to the position of pupil at the Grand Opera house.",Eric Summer,2016,"['elle fanning', ' dane dehaan', ' carly rae jepsen', ' maddie ziegler']","['animation', 'adventure', 'comedy']"
Oblivion,"title: Oblivion ,Description: A veteran assigned to extract Earth's remaining resources begins to question what he knows about his mission and himself.",Joseph Kosinski,2013,"['tom cruise', ' morgan freeman', ' andrea riseborough', ' olga kurylenko']","['action', 'adventure', 'mystery']"
22 Jump Street,"title: 22 Jump Street ,Description: After making their way through high school (twice), big changes are in store for officers Schmidt and Jenko when they go deep undercover at a local college.",Phil Lord,2014,"['channing tatum', ' jonah hill', ' ice cube', 'nick offerman']","['action', 'comedy', 'crime']"
Zodiac,"title: Zodiac ,Description: In the late 1960s/early 1970s, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.",David Fincher,2007,"['jake gyllenhaal', ' robert downey jr.', ' mark ruffalo', 'anthony edwards']","['crime', 'drama', 'history']"
Everybody Wants Some!!,"title: Everybody Wants Some!! ,Description: In 1980, a group of college baseball players navigate their way through the freedoms and responsibilities of unsupervised adulthood.",Richard Linklater,2016,"['blake jenner', ' tyler hoechlin', ' ryan guzman', 'zoey deutch']",['comedy']
Iron Man Three,"title: Iron Man Three ,Description: When Tony Stark's world is torn apart by a formidable terrorist called the Mandarin, he starts an odyssey of rebuilding and retribution.",Shane Black,2013,"['robert downey jr.', ' guy pearce', ' gwyneth paltrow', 'don cheadle']","['action', 'adventure', 'sci-fi']"
Now You See Me,"title: Now You See Me ,Description: An FBI agent and an Interpol detective track a team of illusionists who pull off bank heists during their performances and reward their audiences with the money.",Louis Leterrier,2013,"['jesse eisenberg', ' common', ' mark ruffalo', ' woody harrelson']","['crime', 'mystery', 'thriller']"
Sherlock Holmes,"title: Sherlock Holmes ,Description: Detective Sherlock Holmes and his stalwart partner Watson engage in a battle of wits and brawn with a nemesis whose plot is a threat to all of England.",Guy Ritchie,2009,"['robert downey jr.', ' jude law', ' rachel mcadams', ' mark strong']","['action', 'adventure', 'crime']"
Death Proof,"title: Death Proof ,Description: Two separate sets of voluptuous women are stalked at different times by a scarred stuntman who uses his ""death proof"" cars to execute his murderous plans.",Quentin Tarantino,2007,"['kurt russell', ' zoë bell', ' rosario dawson', ' vanessa ferlito']",['thriller']
The Danish Girl,"title: The Danish Girl ,Description: A fictitious love story loosely inspired by the lives of Danish artists Lili Elbe and Gerda Wegener. Lili and Gerda's marriage and work evolve as they navigate Lili's groundbreaking journey as a transgender pioneer.",Tom Hooper,2015,"['eddie redmayne', ' alicia vikander', ' amber heard', ' ben whishaw']","['biography', 'drama', 'romance']"
Hercules,"title: Hercules ,Description: Having endured his legendary twelve labors, Hercules, the Greek demigod, has his life as a sword-for-hire tested when the King of Thrace and his daughter seek his aid in defeating a tyrannical warlord.",Brett Ratner,2014,"['dwayne johnson', ' john hurt', ' ian mcshane', ' joseph fiennes']","['action', 'adventure']"
Sucker Punch,"title: Sucker Punch ,Description: A young girl is institutionalized by her abusive stepfather, retreating to an alternative reality as a coping strategy, envisioning a plan to help her escape.",Zack Snyder,2011,"['emily browning', ' vanessa hudgens', ' abbie cornish', 'jena malone']","['action', 'fantasy']"
Keeping Up with the Joneses,"title: Keeping Up with the Joneses ,Description: A suburban couple becomes embroiled in an international espionage plot when they discover that their seemingly perfect new neighbors are government spies.",Greg Mottola,2016,"['zach galifianakis', ' isla fisher', ' jon hamm', ' gal gadot']","['action', 'comedy']"
Jupiter Ascending,"title: Jupiter Ascending ,Description: A young woman discovers her destiny as an heiress of intergalactic nobility and must fight to protect the inhabitants of Earth from an ancient and destructive industry.",Lana Wachowski,2015,"['channing tatum', ' mila kunis', 'eddie redmayne', ' sean bean']","['action', 'adventure', 'sci-fi']"
Masterminds,"title: Masterminds ,Description: A guard at an armored car company in the Southern U.S. organizes one of the biggest bank heists in American history. Based on the October 1997 Loomis Fargo robbery.",Jared Hess,2016,"['zach galifianakis', ' kristen wiig', ' owen wilson', ' ross kimball']","['action', 'comedy', 'crime']"
Iris,"title: Iris ,Description: Iris, young wife of a businessman, disappears in Paris. Maybe a mechanic with many debts is involved in the strange affair. A really complicated job for the police.",Jalil Lespert,2016,"['romain duris', ' charlotte le bon', ' jalil lespert', ' camille cottin']",['thriller']
Busanhaeng,"title: Busanhaeng ,Description: While a zombie virus breaks out in South Korea, passengers struggle to survive on the train from Seoul to Busan.",Sang-ho Yeon,2016,"['yoo gong', ' soo-an kim', ' yu-mi jung', ' dong-seok ma']","['action', 'drama', 'horror']"
Pitch Perfect,"title: Pitch Perfect ,Description: Beca, a freshman at Barden University, is cajoled into joining The Bellas, her school's all-girls singing group. Injecting some much needed energy into their repertoire, The Bellas take on their male rivals in a campus competition.",Jason Moore,2012,"['anna kendrick', ' brittany snow', ' rebel wilson', ' anna camp']","['comedy', 'music', 'romance']"
Neighbors 2: Sorority Rising,"title: Neighbors 2: Sorority Rising ,Description: When their new next-door neighbors turn out to be a sorority even more debaucherous than the fraternity previously living there, Mac and Kelly team with their former enemy, Teddy, to bring the girls down.",Nicholas Stoller,2016,"['seth rogen', ' rose byrne', ' zac efron', ' chloë grace moretz']",['comedy']
The Exception,"title: The Exception ,Description: A German soldier tries to determine if the Dutch resistance has planted a spy to infiltrate the home of Kaiser Wilhelm in Holland during the onset of World War II, but falls for a young Jewish Dutch woman during his investigation.",David Leveaux,2016,"['lily james', ' jai courtney', ' christopher plummer', ' loïs van wijk']",['drama']
Man of Steel,"title: Man of Steel ,Description: Clark Kent, one of the last of an extinguished race disguised as an unremarkable human, is forced to reveal his identity when Earth is invaded by an army of survivors who threaten to bring the planet to the brink of destruction.",Zack Snyder,2013,"['henry cavill', ' amy adams', ' michael shannon', ' diane lane']","['action', 'adventure', 'fantasy']"
The Choice,"title: The Choice ,Description: Travis and Gabby first meet as neighbors in a small coastal town and wind up in a relationship that is tested by life's most defining events.",Ross Katz,2016,"['benjamin walker', ' teresa palmer', ' alexandra daddario', 'maggie grace']","['drama', 'romance']"
Ice Age: Collision Course,"title: Ice Age: Collision Course ,Description: Manny, Diego, and Sid join up with Buck to fend off a meteor strike that would destroy the world.",Mike Thurmeier,2016,"['ray romano', ' denis leary', ' john leguizamo', ' chris wedge']","['animation', 'adventure', 'comedy']"
The Devil Wears Prada,"title: The Devil Wears Prada ,Description: A smart but sensible new graduate lands a job as an assistant to Miranda Priestly, the demanding editor-in-chief of a high fashion magazine.",David Frankel,2006,"['anne hathaway', ' meryl streep', ' adrian grenier', ' emily blunt']","['comedy', 'drama']"
The Infiltrator,"title: The Infiltrator ,Description: A U.S. Customs official uncovers a money laundering scheme involving Colombian drug lord Pablo Escobar.",Brad Furman,2016,"['bryan cranston', ' john leguizamo', ' diane kruger', ' amy ryan']","['biography', 'crime', 'drama']"
There Will Be Blood,"title: There Will Be Blood ,Description: A story of family, religion, hatred, oil and madness, focusing on a turn-of-the-century prospector in the early days of the business.",Paul Thomas Anderson,2007,"['daniel day-lewis', ' paul dano', ' ciarán hinds', 'martin stringer']","['drama', 'history']"
The Equalizer,"title: The Equalizer ,Description: A man believes he has put his mysterious past behind him and has dedicated himself to beginning a new, quiet life. But when he meets a young girl under the control of ultra-violent Russian gangsters, he can't stand idly by - he has to help her.",Antoine Fuqua,2014,"['denzel washington', ' marton csokas', ' chloë grace moretz', ' david harbour']","['action', 'crime', 'thriller']"
Lone Survivor,"title: Lone Survivor ,Description: Marcus Luttrell and his team set out on a mission to capture or kill notorious Taliban leader Ahmad Shah, in late June 2005. Marcus and his team are left to fight for their lives in one of the most valiant efforts of modern warfare.",Peter Berg,2013,"['mark wahlberg', ' taylor kitsch', ' emile hirsch', ' ben foster']","['action', 'biography', 'drama']"
The Cabin in the Woods,"title: The Cabin in the Woods ,Description: Five friends go for a break at a remote cabin, where they get more than they bargained for, discovering the truth behind the cabin in the woods.",Drew Goddard,2012,"['kristen connolly', ' chris hemsworth', ' anna hutchison', 'fran kranz']",['horror']
The House Bunny,"title: The House Bunny ,Description: After Playboy bunny Shelley is kicked out of the playboy mansion, she finds a job as the house mother for a sorority full of socially awkward girls.",Fred Wolf,2008,"['anna faris', ' colin hanks', ' emma stone', ' kat dennings']","['comedy', 'romance']"
She's Out of My League,"title: She's Out of My League ,Description: An average Joe meets the perfect woman, but his lack of confidence and the influence of his friends and family begin to pick away at the relationship.",Jim Field Smith,2010,"['jay baruchel', ' alice eve', ' t.j. miller', ' mike vogel']","['comedy', 'romance']"
Inherent Vice,"title: Inherent Vice ,Description: In 1970, drug-fueled Los Angeles private investigator Larry ""Doc"" Sportello investigates the disappearance of a former girlfriend.",Paul Thomas Anderson,2014,"['joaquin phoenix', ' josh brolin', ' owen wilson', 'katherine waterston']","['comedy', 'crime', 'drama']"
Alice Through the Looking Glass,"title: Alice Through the Looking Glass ,Description: Alice returns to the whimsical world of Wonderland and travels back in time to help the Mad Hatter.",James Bobin,2016,"['mia wasikowska', ' johnny depp', ' helena bonham carter', ' anne hathaway']","['adventure', 'family', 'fantasy']"
Vincent N Roxxy,"title: Vincent N Roxxy ,Description: A small town loner and a rebellious punk rocker unexpectedly fall in love as they are forced on the run and soon discover violence follows them everywhere.",Gary Michael Schultz,2016,"['emile hirsch', ' zoë kravitz', ' zoey deutch', 'emory cohen']","['crime', 'drama', 'thriller']"
The Fast and the Furious: Tokyo Drift,"title: The Fast and the Furious: Tokyo Drift ,Description: A teenager becomes a major competitor in the world of drift racing after moving in with his father in Tokyo to avoid a jail sentence in America.",Justin Lin,2006,"['lucas black', ' zachery ty bryan', ' shad moss', ' damien marzette']","['action', 'crime', 'thriller']"
How to Be Single,"title: How to Be Single ,Description: A group of young adults navigate love and relationships in New York City.",Christian Ditter,2016,"['dakota johnson', ' rebel wilson', ' leslie mann', ' alison brie']","['comedy', 'romance']"
The Blind Side,"title: The Blind Side ,Description: The story of Michael Oher, a homeless and traumatized boy who became an All American football player and first round NFL draft pick with the help of a caring woman and her family.",John Lee Hancock,2009,"['quinton aaron', ' sandra bullock', ' tim mcgraw', 'jae head']","['biography', 'drama', 'sport']"
La vie d'Adèle,"title: La vie d'Adèle ,Description: Adèle's life is changed when she meets Emma, a young woman with blue hair, who will allow her to discover desire and to assert herself as a woman and as an adult. In front of others, Adèle grows, seeks herself, loses herself, and ultimately finds herself through love and loss.",Abdellatif Kechiche,2013,"['léa seydoux', ' adèle exarchopoulos', ' salim kechiouche', ' aurélien recoing']","['drama', 'romance']"
The Babadook,"title: The Babadook ,Description: A single mother, plagued by the violent death of her husband, battles with her son's fear of a monster lurking in the house, but soon discovers a sinister presence all around her.",Jennifer Kent,2014,"['essie davis', ' noah wiseman', ' daniel henshall', ' hayley mcelhinney']","['drama', 'horror']"
The Hobbit: The Battle of the Five Armies,"title: The Hobbit: The Battle of the Five Armies ,Description: Bilbo and Company are forced to engage in a war against an array of combatants and keep the Lonely Mountain from falling into the hands of a rising darkness.",Peter Jackson,2014,"['ian mckellen', ' martin freeman', ' richard armitage', 'cate blanchett']","['adventure', 'fantasy']"
Harry Potter and the Order of the Phoenix,"title: Harry Potter and the Order of the Phoenix ,Description: With their warning about Lord Voldemort's return scoffed at, Harry and Dumbledore are targeted by the Wizard authorities as an authoritarian bureaucrat slowly seizes power at Hogwarts.",David Yates,2007,"['daniel radcliffe', ' emma watson', ' rupert grint', ' brendan gleeson']","['adventure', 'family', 'fantasy']"
Snowpiercer,"title: Snowpiercer ,Description: Set in a future where a failed climate-change experiment kills all life on the planet except for a lucky few who boarded the Snowpiercer, a train that travels around the globe, where a class system emerges.",Bong Joon Ho,2013,"['chris evans', ' jamie bell', ' tilda swinton', ' ed harris']","['action', 'drama', 'sci-fi']"
The 5th Wave,"title: The 5th Wave ,Description: Four waves of increasingly deadly alien attacks have left most of Earth decimated. Cassie is on the run, desperately trying to save her younger brother.",J Blakeson,2016,"['chloë grace moretz', ' matthew zuk', ' gabriela lopez', 'bailey anne borders']","['action', 'adventure', 'sci-fi']"
The Stakelander,"title: The Stakelander ,Description: When his home of New Eden is destroyed by a revitalized Brotherhood and its new Vamp leader, Martin finds himself alone in the badlands of America with only the distant memory of his mentor and legendary vampire hunter, Mister, to guide him.",Dan Berk,2016,"['connor paolo', ' nick damici', ' laura abramsen', ' a.c. peterson']","['action', 'horror']"
The Visit,"title: The Visit ,Description: Two siblings become increasingly frightened by their grandparents' disturbing behavior while visiting them on vacation.",M. Night Shyamalan,2015,"['olivia dejonge', ' ed oxenbould', ' deanna dunagan', ' peter mcrobbie']","['comedy', 'horror', 'thriller']"
Fast Five,"title: Fast Five ,Description: Dominic Toretto and his crew of street racers plan a massive heist to buy their freedom while in the sights of a powerful Brazilian drug lord and a dangerous federal agent.",Justin Lin,2011,"['vin diesel', ' paul walker', ' dwayne johnson', ' jordana brewster']","['action', 'crime', 'thriller']"
Step Up,"title: Step Up ,Description: Tyler Gage receives the opportunity of a lifetime after vandalizing a performing arts school, gaining him the chance to earn a scholarship and dance with an up and coming dancer, Nora.",Anne Fletcher,2006,"['channing tatum', ' jenna dewan tatum', ' damaine radcliff', ' deshawn washington']","['crime', 'drama', 'music']"
Lovesong,"title: Lovesong ,Description: The relationship between two friends deepens during an impromptu road trip.",So Yong Kim,2016,"['riley keough', ' jena malone', ' jessie ok gray', ' cary joji fukunaga']",['drama']
RocknRolla,"title: RocknRolla ,Description: In London, a real-estate scam puts millions of pounds up for grabs, attracting some of the city's scrappiest tough guys and its more established underworld types, all of whom are looking to get rich quick. While the city's seasoned criminals vie for the cash, an unexpected player -- a drugged-out rock 'n' roller presumed to be dead but very much alive -- has a multi-million-dollar prize fall into... See full summary »",Guy Ritchie,2008,"['gerard butler', ' tom wilkinson', ' idris elba', ' thandie newton']","['action', 'crime', 'thriller']"
